category,"event_code","event_description",severity
b2bgw,0x0313000b,"Unsupported MIC Algorithm",error
b2bgw,0x0313000c,"Unexpected MDN response",error
b2bgw,0x0314000d,"Database operation failed",warning
b2bgw,0x0313000e,"Unsupported document type",error
b2bgw,0x0313000f,"Reject duplicate message",error
b2bgw,0x03130010,"MDN URL Setting Error",error
b2bgw,0x03130011,"MDN Generation Error",error
b2bgw,0x03140012,"Bad Content Type",warning
b2bgw,0x03140013,"Required encrypted data not encrypted.",warning
b2bgw,0x03130014,"Archive directory or file name is missing",error
b2bgw,0x03120015,"Insufficient disk space on RAID volume",critical
b2bgw,0x03120018,"B2B persistence store down",critical
b2bgw,0x03160019,"Waiting Inbound Asynchronous MDN response",info
b2bgw,0x0316001a,"Waiting Outbound Asynchronous MDN",info
b2bgw,0x0313001b,"No MDN received for outbound transaction",error
b2bgw,0x0313001c,"Failed to deliver MDN for inbound transaction",error
b2bgw,0x0313001d,"No reference to original B2B Gateway",error
b2bgw,0x0313001e,"no credentials to sign MDN",error
b2bgw,0x0313001f,"No B2B transaction ID",error
b2bgw,0x03130020,"Cannot reduce B2B persistence storage size",error
b2bgw,0x03130021,"No internal partner profile is associated with this gateway",error
b2bgw,0x03130022,"No external partner profile is associated with this gateway",error
b2bgw,0x03130023,"Duplicate business identifiers are in one or more partner profiles",error
b2bgw,0x03130024,"MDN Processing Error",error
b2bgw,0x03120025,"Insufficient persistent store space on RAID volume",critical
b2bgw,0x03140026,"Required signed data not signed.",warning
b2bgw,0x03130027,"External partner has no AS2 async MDN URL",error
b2bgw,0x03130028,"External partner has no AS3 async MDN URL",error
b2bgw,0x03130029,"Document storage location cannot be local:///",error
b2bgw,0x0313002a,"Backside connection resulted in a protocol failure",error
b2bgw,0x0316002b,"Could not find retransmission info",info
b2bgw,0x0313002c,"Duplicate email addresses are in one or more partner profiles",error
b2bgw,0x0313002d,"Default SMTP connection object is not available",error
b2bgw,0x0313002e,"No email address configured for sending partner",error
b2bgw,0x0313002f,"No email address configured for receiving partner",error
b2bgw,0x03130030,"External partner has no AS1 MDN URL",error
b2bgw,0x03130031,"SMTP server connection object is not up",error
b2bgw,0x03130032,"Destination missing required url",error
b2bgw,0x03130033,"Setting for replying async Acknowledgment not found",error
b2bgw,0x03130034,"Failed to send async Acknowledgment to external partner",error
b2bgw,0x03130035,"Settings for replying async Error not found",error
b2bgw,0x03130036,"Failed to send async Error message to external partner",error
b2bgw,0x03160037,"Waiting Outbound Asynchronous Acknowledgment",info
b2bgw,0x03160038,"Waiting Inbound Asynchronous HTTP response",info
b2bgw,0x03130039,"Received Unexpected Synchronous Response",error
b2bgw,0x0313003a,"Response Processing Error",error
b2bgw,0x0313003b,"Received response with unexpected RefToMessageId",error
b2bgw,0x0313003c,"No ACK received for ebMS outbound transaction",error
b2bgw,0x0313003d,"TimeToLive element invalid for inbound transaction",error
b2bgw,0x0313003e,"Error occurred when parsing ebMS Pong message",error
b2bgw,0x0313003f,"Error occurred when paring ebMS Status Response message",error
b2bgw,0x03130040,"Unauthorized inbound message",error
b2bgw,0x03140041,"Ignored Ack or Error Message with the same RefToMessageId value",warning
b2bgw,0x03130042,"Rejected unexpected Ack or Error Message",error
b2bgw,0x03130043,"Error found for the ebMS2 ping message",error
b2bgw,0x03130044,"Error found for the ebMS2 status request",error
b2bgw,0x03130045,"Duplicate Message Inconsistent with Original",error
b2bgw,0x03130046,"Security error for inbound transaction",error
b2bgw,0x03130047,"Mime problem for inbound transaction",error
b2bgw,0x03130048,"Can not deliver async Ack without AckURL",error
b2bgw,0x03130049,"Can not deliver async Error Message without ErrorURL",error
b2bgw,0x0313004a,"The incoming ebMS message is not supported",error
b2bgw,0x0313004b,"Invalid destination",error
b2bgw,0x0313004c,"ebXML element/attribute is not recognizable",error
b2bgw,0x0313004d,"Unknown ebXML document type",error
b2bgw,0x0313004e,"Not a valid ebXML message",error
b2bgw,0x0313004f,"Other Host in HA Cluster not defined",error
b2bgw,0x03130050,"ACK Processing Failure",error
b2bgw,0x03130051,"Error Occurred During Packaging Retransmit Message",error
b2bgw,0x03130052,"The specified virtual IP address was invalid",error
b2bgw,0x03130053,"The specified standby control group does not exist",error
b2bgw,0x03130054,"The specified standby control group did not enable preemption",error
b2bgw,0x03120055,"Too many files on RAID volume",critical
b2bgw,0x03120056,"Transaction cannot be recovered",critical
b2bgw,0x03160057,"Waiting Outbound Response",info
b2bgw,0x03130058,"Fault response returned by outbound receiver",error
b2bgw,0x03130059,"Required SSH Client Connection object is not provided or is not operational",error
b2bgw,0x0313005a,"Archive monitor associated with B2B gateway is down",error
b2bgw,0x0313005b,"SSH Client Connection not configured for SFTP",error
b2bgw,0x0313005c,"No Business ID is specified",error
b2bgw,0x0313005d,"Invalid frontside URL due to unsupported URL parameter or command",error
b2bgw,0x0313005e,"Incorrect CPA partner specified",error
b2bgw,0x0313005f,"Cannot identify CPA Business Collaboration Service",error
b2bgw,0x03130060,"Cannot identify CPA MSH Signal Service",error
b2bgw,0x03130061,"Cannot identify receiving Action binding",error
b2bgw,0x03130062,"Inconsistent with CPA setting",error
b2bgw,0x03130063,"Cannot reply with no MSH Signal Service",error
b2bgw,0x03130064,"Missing Service",error
b2bgw,0x03130065,"Missing Role(s)",error
b2bgw,0x03130066,"Missing Default Sender/Receiver Action",error
b2bgw,0x03130067,"Action is required",error
b2bgw,0x03130068,"Cannot identify sending Action binding",error
b2bgw,0x03130069,"Failed to sign Acknowledgment",error
b2bgw,0x0313006a,"Processing failure: Failed to package outbound ebMS request",error
b2bgw,0x0313006b,"Missing required CPAId, Service, or Action",error
b2bgw,0x0313006c,"Query result from database is invalid",error
b2bgw,0x0313006d,"Processing failure: Failed to package Acknowledgment",error
b2bgw,0x0313006e,"An error ocurred when parsing EDI document",error
b2bgw,0x0313006f,"Query Error: Error during pre-process. Abort Query.",error
b2bgw,0x03130070,"Query Error: Abort Query.",error
b2bgw,0x03140071,"Query Warn: exception detected. Query proceeded.",warning
b2bgw,0x03160072,"Query Info: Query proceeded. Please see information in event logs",info
b2bgw,0x03130073,"Failed to archive persisted transactions",error
b2bgw,0x03130074,"Invalid Archive Directory URL specified",error
b2bgw,0x03130075,"Document Storage directory not accessible",error
b2bgw,0x03130076,"HA configuration template file missing.",error
b2bgw,0x03130077,"Failed to generate HA configuration file.",error
b2bgw,0x03130078,"The IPv6 address is not supported for high availability configuration.",error
b2bgw,0x03130079,"The HA configuration is invalid.",error
b2bgw,0x0316007a,"Reprocessed Success",info
b2bgw,0x0313007b,"The specificed digest algorithm is not supported.",error
b2bgw,0x0313007c,"B2B document storage is not ready to be used.",error
b2bgw,0x0313007d,"Routing preprocessor file type mismatch.",error
b2bgw,0x0313007e,"One or more CPA senders are not internal partner profiles.",error
clock,0x01530001,"Time zone config mismatch.",error
"cloud_connector",0x04430001,"The direction of the Cloud Connector SSL Proxy Profile is Reverse.",error
"cloud_gateway",0x04330001,"The direction of the Cloud Gateway SSL Proxy Profile is not Reverse.",error
"cloud_gateway",0x04330002,"The direction of an enterprise application SSL Proxy Profile is not Forward.",error
"cluster_service",0x03730001,"Exceeded service count maximum.",error
"cluster_service",0x03730002,"System Identifier not set.",error
"cluster_service",0x03730003,"System Identifier not found.",error
"cluster_service",0x03730004,"Failed to create configuration file.",error
"cluster_service",0x03730005,"Configuration modification not allowed.",error
"cluster_service",0x03730006,"Failed to bring the cluster service online.",error
"cluster_service",0x03730007,"Failed to bring the cluster service offline.",error
"cluster_service",0x03730008,"Failed to open heartbeat directory.",error
"cluster_service",0x03730009,"Heartbeat still active.",error
"cluster_service",0x0373000a,"Failed to stop heartbeat.",error
"cluster_service",0x0373000b,"Cannot find cluster.",error
cms,0x03030001,"Failed allocating memory.",error
cms,0x03040002,"Signature verification failed.",warning
cms,0x03040003,"Bad digest algorithm.",warning
cms,0x03040004,"Invalid cms data.",warning
cms,0x03040005,"Digest update failed.",warning
cms,0x03040006,"Could not process cms data.",warning
cms,0x03040007,"Unable to decrypt data.",warning
cms,0x03040009,"Unable to uncompress data.",warning
cms,0x0304000c,"Bad encryption cipher.",warning
cms,0x0304000d,"Unable to encrypt data.",warning
cms,0x0304000e,"Unable to encrypt data.",warning
cms,0x0304000f,"Unable to sign data.",warning
cms,0x03040010,"No signing key.",warning
cms,0x03040011,"Bad signing digest.",warning
cms,0x03040013,"Could not update headers for outbound data.",warning
cms,0x03030014,"Attempt to send outbound message with no data.",error
crypto,0x01b10001,"Crypto accelerator not supported by this firmware",alert
crypto,0x01b20002,"HSM is uninitialized",critical
crypto,0x01b20003,"HSM PED login timed out",critical
crypto,0x01b20004,"HSM PED login failed",critical
crypto,0x01b10005,"Microcode file not found",alert
crypto,0x01b10006,"Microcode load failed",alert
crypto,0x01b10007,"HSM credentials not found",alert
crypto,0x01b20008,"HSM password login failed",critical
crypto,0x01b10009,"uncertified HSM firmware detected",alert
crypto,0x01b1000a,"Runtime error detected",alert
crypto,0x01b6000b,deprecated,info
crypto,0x01b6000c,"Certificate is about to expire",info
crypto,0x01b1000d,"HSM driver reload failed",alert
crypto,0x01b3000e,"Could not create AAA Authentication LTPA key material",error
crypto,0x01b3000f,"Could not create AAA Post Processing LTPA key material",error
crypto,0x01b30010,"Could not parse WebSEAL DynURL Mapping file",error
crypto,0x01b50011,"HSM needs power cycle",notice
crypto,0x01b30012,"Kerberos object opstate down due to crypto mode",error
crypto,0x01b30013,"Referenced external AAA template contains dynamic configuration.",error
dochandler,0x00130002,"Failed to read data",error
dochandler,0x00130003,"Failed to connect",error
encodings,0x01230002,"Out of Memory",error
encodings,0x01230003,"Invalid UTF-8 Character",error
encodings,0x01230004,"Invalid UTF-16 Character",error
encodings,0x01230005,"Invalid EBCDIC Character",error
encodings,0x01230006,"Attempted to encode a character which cannot be represented in Latin-1",error
encodings,0x01230007,"Attempted to encode a character which cannot be represented in Latin-2",error
encodings,0x01230008,"Attempted to encode a character which cannot be represented in EBCDIC",error
encodings,0x01230009,"Unknown encoding name",error
encodings,0x0123000a,"Invalid input text encoding",error
encodings,0x0123000b,"Invalid character for output text encoding",error
environmental,0x02220001,"Power supply failure.",critical
environmental,0x02240002,"Internal cooling fan has slowed",warning
environmental,0x02220003,"Internal cooling fan has stopped.",critical
environmental,0x02220004,"System battery missing.",critical
environmental,0x02220005,"System battery failed.",critical
environmental,0x02220006,"Power supply AC is not connected",critical
errorreport,0x04130001,"Error report creation failed.",error
evtlog,0x03a30001,"During event processing, an error occurred.",error
evtlog,0x03a30002,"A connection failure occurred.",error
evtlog,0x03a30003,"The initial server connection could not be started.",error
evtlog,0x03a30004,"A data connection to the server could not be established.",error
evtlog,0x03a30005,"A DNS lookup failed.",error
evtlog,0x03a30006,"Invalid local address was specified.",error
"fibre_channel",0x03530001,"Failed to load HBA.",error
"fibre_channel",0x03530002,"Failed to get HBA attributes.",error
"fibre_channel",0x03530003,"Unexpected number of HBA ports.",error
"fibre_channel",0x03530004,"Failed to get HBA port attributes.",error
"fibre_channel",0x03530005,"HBA port not online.",error
"fibre_channel",0x03530006,"Failed to load referenced HBA.",error
"fibre_channel",0x03530007,"WWPN already exists.",error
"fibre_channel",0x03530008,"Failed to get remote port attributes.",error
"fibre_channel",0x03530009,"Target port not online.",error
"fibre_channel",0x0353000a,"Target volume not accessible",error
"fibre_channel",0x0353000b,"Failed to find LUN",error
"fibre_channel",0x0353000c,"LUN already exists",error
"fibre_channel",0x0353000d,"Failed to register for HBA port events.",error
"fibre_channel",0x0353000e,"Failed to register for Target port events.",error
"fibre_channel",0x0353000f,"Directory already exists",error
"fibre_channel",0x03530010,"Failed to find target",error
"fibre_channel",0x03530011,"Failed to register for Volume path events.",error
"fibre_channel",0x03530012,"Volume not online.",error
"fibre_channel",0x03530013,"HBA not configured.",error
"fibre_channel",0x03530014,"Target not configured.",error
"fibre_channel",0x03530015,"HBA not configured.",error
"fibre_channel",0x03530016,"Invalid HBA configuration.",error
"fibre_channel",0x03530017,"Target not multipathed.",error
"fibre_channel",0x03530018,"Target not specified.",error
"fibre_channel",0x03530019,"Host Bus Adapter not specified.",error
filepoller,0x02730001,"Incorrect poll directory provided.",error
filepoller,0x02730002,"No file match pattern was provided.",error
filepoller,0x02730003,"Memory could not be allocated for current transaction.",error
filepoller,0x02730004,"Poll sequence allocation error.",error
filepoller,0x02730005,"File rename failed.",error
filepoller,0x02730006,"File open failed.",error
filepoller,0x02730007,"File delete failed.",error
filepoller,0x02730008,"Poll transaction initiation failed.",error
filepoller,0x02760009,"Poll sequence did not find any files.",info
filepoller,0x0273000a,"Poll sequence returned an incorrect file listing.",error
filepoller,0x0276000b,"Poll sequence did not find a matching file.",info
filepoller,0x0273000c,"File close failed.",error
filepoller,0x0273000d,"Result file name pattern was not provided.",error
filepoller,0x0273000e,"SSH Client Connection not configured for SFTP",error
ftpserver,0x02630001,"Directory missing leading slash",error
ftpserver,0x02630002,"Directory has trailing slash",error
ftpserver,0x02630003,"Directory not nested",error
ftpserver,0x02630004,"Directory too long",error
ftpserver,0x02630005,"Duplicate Directory",error
ftpserver,0x02630006,"Directory component . (dot)",error
ftpserver,0x02630007,"Directory component .. (dot-dot)",error
ftpserver,0x02630008,"Response directory not a configured virtual directory",error
ftpserver,0x02630009,"NFS mount missing",error
ftpserver,0x0263000a,"Response URL missing",error
ftpserver,0x0263000b,"Unique Filename Prefix too long",error
ftpserver,0x0263000c,"Response Suffix too long",error
ftpserver,0x0263000d,"Default Directory too long",error
ftpserver,0x0263000e,"Default Directory non-existent",error
ftpserver,0x0266000f,"FTP Control Connection Closed",info
ftpserver,0x02630010,"Close of NFS storage for FTP Server result file failed",error
ftpserver,0x02630011,"Open of remote response file failed",error
ftpserver,0x02630012,"SSL Proxy configuration missing or invalid.",error
ftpserver,0x02630013,"Persistent VFS required.",error
ftpserver,0x02630014,"Incorrect port range specified.",error
ftpserver,0x02630015,"Alternate passive IP address was not specified.",error
ftpserver,0x02630016,"SSL/TLS certificate mismatch between control and data connections",error
"generic_command",0x04630001,"Invalid option",error
"generic_command",0x04630002,"Invalid option value",error
"generic_command",0x04630003,"Missing option value",error
"generic_command",0x04630004,"Internal error",error
httpconvert,0x02130001,"Invalid url-encoded data.",error
httpconvert,0x02130002,"Bad MIME format.",error
httpconvert,0x02130003,"MIME parser error.",error
httpconvert,0x02130004,"Bad name for form variable.",error
httpconvert,0x02130005,"post of multipart/form-data without boundary.",error
httpconvert,0x02130006,"post of multipart/form-data long boundary.",error
httpconvert,0x02130007,"name too long.",error
httpconvert,0x02130008,"Invalid JSON format",error
httpconvert,0x02130009,"Invalid JSON property name",error
httpconvert,0x0213000a,"Invalid JSON property value",error
httpconvert,0x0213000b,"JSON type length exceeded",error
httpconvert,0x0213000c,"JSON data structure depth exceeded",error
httpconvert,0x0213000d,"Invalid array syntax",error
httpconvert,0x0213000e,"Invalid object syntax",error
httpconvert,0x0213000f,"Invalid string syntax",error
httpconvert,0x02130010,"Invalid number syntax",error
httpconvert,0x02130011,"Invalid null syntax",error
httpconvert,0x02130012,"Invalid boolean syntax",error
httpconvert,0x02130013,"Invalid JSON encoding",error
httpconvert,0x02130014,"JSON body exceeded maximum document size",error
httpconvert,0x02120015,"Memory allocation failed",critical
httpconvert,0x02120016,"Invalid JSON syntax",critical
httpconvert,0x02130017,"URL contains invalid characters.",error
identity,0x00530001,"Network error",error
identity,0x00530002,"Read error",error
identity,0x00530003,"Write error",error
ilmtagent,0x03e30001,"Cannot find the ILMT agent.",error
ilmtagent,0x03e30003,"Cannot start the ILMT agent.",error
ilmtagent,0x03e30004,"Cannot stop the ILMT agent.",error
ilmtagent,0x03e3000c,"Error reading masthead.",error
ilmtagent,0x03e3000d,"Missing or invalid platform license.",error
ilmtagent,0x03e3000e,"Error configuring the ILMT agent.",error
ilmtagent,0x03e30010,"Missing or corrupted masthead.",error
ipmi,0x03830001,"LAN Channel IP address invalid",error
ipmi,0x03830002,"LAN Channel IP address not IPv4",error
ipmi,0x03830003,"LAN Channel default gateway not on same subnet",error
ipmi,0x03830004,"Duplicate User ID value",error
ipmi,0x03830005,"Invalid character in user name",error
ipmi,0x03830006,"Invalid character in password",error
ipmi,0x03830007,"User name too long",error
ipmi,0x03830008,"Invalid LAN Channel name",error
ipmi,0x03830009,"Error setting configuration in BMC",error
ipmi,0x0383000a,"LAN Channel not found in BMC",error
ipmi,0x0383000b,"Illegal password length",error
ipmi,0x0383000c,"Error reading configuration from BMC",error
isam,0x04530001,"Local user registry required when the policy server type is 'local'.",error
isam,0x04530002,"Remote user registry required when the policy server type is 'remote'.",error
isam,0x04530003,"Policy Server Host required when the policy server type is 'remote'.",error
isam,0x04530004,"Policy Server Port required when the policy server type is 'remote'.",error
isam,0x04530005,"Policy admin password required when the policy server type is 'local'.",error
isam,0x04530006,"SSL Server Lifetime required when the policy server type is 'local'.",error
isam,0x04530007,"SSL Compliance required when the policy server type is 'local'.",error
isam,0x04530008,"LDAP Host required when the policy server type is 'local' and the User Remote Registry Type is 'ldap_remote', or the policy server type is 'remote' and the User Remote Registry Type is 'ldap'.",error
isam,0x04530009,"LDAP Port required when the policy server type is 'local' and the User Remote Registry Type is'ldap_remote', or the policy server type is 'remote' and the User Remote Registry Type is 'ldap'.",error
isam,0x0453000a,"LDAP DN required when the policy server type is 'local' and the User Remote Registry Type is 'ldap_remote'.",error
isam,0x0453000b,"LDAP Password required when the policy server type is 'local' and the User Remote Registry Type is 'ldap_remote'.",error
isam,0x0453000c,"Either LDAP Certificate Database or Crypto Profile Credentials required when the the User Remote Registry Type is 'ldap_remote', and SSL is enabled",error
isam,0x0453000e,"HTTP or HTTPS must be enabled.",error
isam,0x0453000f,"HTTP Port is required when HTTP is enabled.",error
isam,0x04530010,"HTTPS Port is required when HTTPS is enabled.",error
isam,0x04530011,"Either SSL Key File or SSL Crypto Profile required when HTTPS is enabled.",error
isam,0x04530012,"Either Junction Key File or Crypto Profile required.",error
isam,0x04530013,"User Registry HTTPS Port is required when User Registry SSL is enabled.",error
isam,0x04530014,"Either Key File or Crypto Profile required when User Registry SSL is enabled.",error
isam,0x04530015,"Junction Type Standard is required when Junction Type is 'standard'.",error
isam,0x04530016,"Junction Type Virtual is required when Junction Type is 'virtual'.",error
isam,0x04530017,"Either Mutual Auth Key File or Mutual Auth Validation Credentials required.",error
isam,0x04530018,"Either the Key File or Crypto Profile property is required when SSL is enabled in the Federated Directory.",error
isam,0x04530019,"The Federated Directory Key File is required when the Client Certificate is specified.",error
isam,0x0453001a,"Either the Key File or Crypto Profile property can be specified when SSL is enabled in the Federated Directory.",error
isam,0x0453001b,"Master Instance Name is required when Cluster is Master is not enabled.",error
isam,0x0453001c,"Trigger URL is required when EAI Transport is not 'none'.",error
isam,0x0453001d,"Audit Log Type is required when Audit Log is enabled.",error
isam,0x0453001e,"Local Response Redirect URI is required when Local Response Redirect is enabled.",error
isam,0x0453001f,"Master Authentication Server is required when Is Master Authentication Server is not selected.",error
isam,0x04530020,"User Name is required when Basic Authentication is enabled.",error
isam,0x04530021,"Password or Password Alias is required when Basic Authentication is enabled.",error
isam,0x04530022,"GSO Resource or Group is required when HTTP Basic Authentication Header is set to 'GSO'.",error
isam,0x04530023,"LDAP Certificate Database required when the the User Remote Registry Type is 'ldap_remote', and SSL is enabled",error
isam,0x04530024,"SSL Key File required when HTTPS is enabled.",error
isam,0x04530025,"Key File required when User Registry SSL is enabled.",error
isam,0x04530026,"Key File property is required when SSL is enabled in the Federated Directory.",error
isam,0x04530027,"Mutual Auth Key File required.",error
isam,0x04530028,"Either Basic Auth or Mutual Auth can be enabled.",error
isam,0x04530029,"Target Back-end Server configuration is required.",error
isam,0x0453002a,"Junction Point Name must begin with slash.",error
isam,0x0453002b,"Duplicate junction point names.",error
isam,0x0453002c,"Junction Point Name must not begin with slash.",error
isam,0x0453002d,"Local Address is invalid.",error
isam,0x0453002e,"Invalid Access Manager Runtime.",error
isam,0x0453002f,"Required primary local address is invalid.",error
isam,0x04530030,"Required secondary local address is invalid.",error
isam,0x04530031,"Client Certificate EAI URI is required when Accept Client Certificates is not set to 'never'.",error
isam,0x04530032,"Certificate Data is required when Accept Client Certificates is not set to 'never'.",error
isam,0x04530033,"Realm Name is required when Transport is not set to 'none'.",error
isam,0x04530034,"Access Manager Junction is attached to another Access Manager Reverse Proxy.",error
isam,0x04530035,"Both EAI Data and EAI URI must be set.",error
isam,0x04530036,"LTPA Key File Password or Password Alias is required when LTPA Transport is not 'none'.",error
iscsi,0x02b30001,"Login to target failed.",error
iscsi,0x02b30002,"DNS lookup failed.",error
iscsi,0x02b30003,"Configuration failure.",error
iscsi,0x02b30005,"LUN already exists",error
iscsi,0x02b30006,"bound to volume resource",error
iscsi,0x02b30007,"invalid iscsi name",error
iscsi,0x02b30008,"active targets",error
iscsi,0x02b30009,"hardware adapter failure",error
llm,0x02f30001,"Invalid or missing LLM configuration",error
llm,0x02f30002,"Invalid or missing LLM Instance configuration",error
llm,0x02f30009,"Missing LLM Transmit object for the LLM Instance referenced by this LLM Route",error
llm,0x02f3000a,"Missing LLM Receive object for the LLM Instance referenced by this LLM Policy",error
llm,0x02f3000b,"Missing LLM Transmit object for the LLM Instance referenced by this LLM Route",error
llm,0x02f3000c,"Missing LLM Receive object for the LLM Instance referenced by this LLM Policy",error
llm,0x02f3000d,"Missing LLM Unicast object for the LLM Instance referenced by this LLM Route",error
llm,0x02f3000e,"Missing LLM Unicast object for the LLM Instance referenced by this LLM Policy",error
llm,0x02f3000f,"Invalid configuration item type",error
llm,0x02f30010,"Invalid configuration item value",error
llm,0x02f30011,"Invalid message selection",error
llm,0x02f30012,"Invalid topic match selection",error
llm,0x02f30013,"Invalid property map",error
llm,0x02f30014,"Invalid IP address",error
llm,0x02f30015,"Invalid multicast group",error
llm,0x02f30016,"Invalid interval time specification or cron selector",error
llm,0x02f30017,"Invalid LLM Multicast Tier Group member specification",error
llm,0x02f30018,"Invalid port specified",error
llm,0x02f30019,"Port in use",error
llm,0x02f3001a,"Topic in use",error
llm,0x02f3001b,"Invalid XML configuration",error
llm,0x02f3001c,"Unknown configuration item",error
llm,0x02f3001d,"RMM, RUM or RUDP configuration error",error
llm,0x02f3001e,"Maximum number of LLM Multicast Receive or Transmit objects have been created",error
llm,0x02f3001f,"Multicast Tier Group processing requires both a receiver and a transmitter in the LLM Instance containing the Multicast Tier Group.",error
llm,0x02f30020,"TurboFlow and property maps are not allowed in an LLM Route within an LLM Multicast Tier Group",error
llm,0x02f30021,"RUDP is an invalid protocol for an LLM Route that references an LLM Instance configured with an LLM Multicast Tier Group.",error
llm,0x02f30022,"Topic selection cannot be used within an LLM Policy that references an LLM Instance configured with an LLM Multicast Tier Group.",error
llm,0x02f30023,"Specified network interface not found",error
llm,0x02f30024,"A file was not found",error
llm,0x02f30026,"LLM Instance object is not defined for this LLM Policy",error
llm,0x02f30027,"LLM Instance object is not defined for this LLM Route",error
llm,0x02f30028,"A configuration error has occurred",error
llm,0x02f30029,"The XML field name is missing or has an invalid format",error
llm,0x02f3002a,"The selection criteria length is invalid",error
llm,0x02f3002b,"A selection criteria or configuration item exceeds the maximum of 255 bytes",error
llm,0x02f3002c,"A string in the message selector or property map rule has an error",error
llm,0x02f3002d,"A string in the message selector or property map rule has an error",error
llm,0x02f3002e,"Message Selection expression or Map Properties rule uses an invalid namespace",error
llm,0x02f3002f,"Too many configuration items in the list",error
llm,0x02f30030,"Too few configuration items in the list",error
llm,0x02f30031,"Too few configuration objects",error
llm,0x02f30032,"The specified value is smaller than the allowable minimum",error
llm,0x02f30033,"The specified value is larger than the allowable maximum",error
llm,0x02f30034,"Error retrieving LLM Instance statistics",error
llm,0x02f30035,"Invalid destination",error
llm,0x02f30036,"Error initializing LLM Multicast Receiver",error
llm,0x02f30037,"Missing topic or topic selection",error
llm,0x02f30038,"Missing subject",error
llm,0x02f30039,"Missing search subject",error
llm,0x02f3003a,"Missing search timeout",error
llm,0x02f3003b,"Cannot add message field",error
llm,0x02f3003c,"Cannot create inbox",error
llm,0x02f3003d,"Cannot create event listener",error
llm,0x02f3003e,"Cannot create message",error
llm,0x02f3003f,"Cannot start subsystem",error
llm,0x02f30040,"Cannot create reply subject",error
llm,0x02f30041,"Cannot create transport",error
llm,0x02f30042,"Cannot start the TIBCO RV daemon",error
llm,0x02f30043,"Cannot get message field",error
llm,0x02f30044,"Cannot send message",error
llm,0x02f30045,"Cannot set send subject",error
llm,0x02f30046,"Initialization error",error
llm,0x02f30047,"Invalid protocol",error
llm,0x02f30048,"Invalid certified messaging name",error
llm,0x02f30049,"Invalid subject",error
llm,0x02f3004a,"Invalid search subject",error
llm,0x02f3004b,"Invalid request subject",error
llm,0x02f3004c,"Invalid reply subject",error
llm,0x02f3004d,"Storage Volume is not operational.",error
llm,0x02f3004e,"Reusable name is not unique",error
llm,0x02f3004f,"Missing service parameter",error
llm,0x02f30050,"Missing network interface parameter",error
llm,0x02f30051,"Missing multicast group",error
llm,0x02f30052,"Missing daemon parameter",error
llm,0x02f30053,"Cannot create transport due to argument conflict",error
llm,0x02f30054,"Invalid pre-register listener",error
llm,0x02f30055,"Invalid disallow listener",error
llm,0x02f30056,"The specified value is longer than the allowable maximum",error
llm,0x02f30059,"The RUM instance could not be initialized due to a port error",error
llm,0x02f3005a,"Cannot create certified messaging transport",error
llm,0x02f3005b,"Cannot create certified messaging event listener",error
llm,0x02f3005c,"Cannot pre-register certified messaging event listener",error
llm,0x02f3005d,"Cannot disallow certified messaging event listener",error
llm,0x02f3005e,"Cannot send certified message",error
llm,0x02f3005f,"Missing transport",error
llm,0x02f30060,"Cannot retrieve the certified message sequence number",error
llm,0x02f30061,"Too many routes specified in a request/reply TIBCO RV configuration",error
llm,0x02f30062,"The admin state on the specified reply route is down.",error
